,PID,type2,month,M_ID,q1,q2_a_1,q5,q5_1,q5_2_1,q5_2_2,q5_2_3,q5_2_4,q5_2_5,q5_2_6,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,wt,q6_1,q6_1_1,q6_2,q6_6_1,q6_6_2,q6_6_3,q6_6_4,q6_6_5,q6_6_6,q6_6_7,q6_6_8,q6_6_9,q6_6_10,q6_6_11,q6_6_12,q6_6_13,q6_6_14,q6_6_15,q6_6_16,q6_6_17,q6_6_18,q6_6_19,q6_6_20,q6_6_21,q6_7,q6_8,q6_9,q7_2
66,1002303,2,9,119525,1,9,1,5,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,12799.83867,931,190,1,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,50000
67,1002307,1,1,109055,2,1,1,5,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,11830.93533,932,60,3,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,200000
68,1002307,1,5,109064,1,5,1,5,,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,11830.93533,931,370,1,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,50000
69,1002307,2,9,119525,1,9,1,5,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,11830.93533,931,190,1,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,50000
70,1002401,2,7,122893,2,7,1,4,,,,4,,,3,3,3,3,3,3,3,3,3,3,3,3,8143.753299,932,30,3,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,100000
71,1002801,1,3,110656,1,3,2,0,,,,,,,4,9,5,9,4,9,4,4,4,9,4,4,3446.270736,931,30,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,50000
72,1002801,1,5,110654,1,5,1,6,1,,,,,,4,9,4,9,4,9,4,4,4,9,4,4,3446.270736,911,100,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,30000
73,1002802,1,5,110654,1,5,1,6,1,,,,,,4,9,4,9,4,9,4,4,4,9,4,4,3271.189682,911,100,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,30000
74,1002802,2,8,110655,1,8,1,4,1,,,,,,4,9,4,9,5,9,4,4,4,9,4,4,3271.189682,923,10,1,1,2,,,,6,,,,,,,,,,,,,,,,5,5,5,0
75,1003101,1,5,110663,2,5,1,8,,,,,,,5,9,4,4,4,9,4,4,4,9,4,4,4004.294775,931,270,2,1,,,,,6,,,,,,,,,,,,,,,,5,5,5,144000
76,1003102,1,5,110663,2,5,1,8,,,,,,,5,9,4,4,4,9,4,4,4,9,4,4,4821.91473,931,270,2,1,,,,,6,,,,,,,,,,,,,,,,5,5,5,144000
77,1003103,1,5,110663,2,5,1,8,,,,,,,5,9,4,4,4,9,4,4,4,9,4,4,5113.906614,931,270,2,1,,,,,6,,,,,,,,,,,,,,,,5,5,5,144000
78,1003103,2,10,123219,2,10,1,5,1,,,,,,4,9,5,4,4,9,4,4,4,9,3,4,5113.906614,931,370,2,1,2,,,,6,,,,,,,,,,,,,,,,5,4,5,150000
79,1003103,2,11,123221,2,11,1,24,1,,,,,,5,9,4,4,4,9,4,4,4,9,3,3,5113.906614,932,60,2,1,2,,,,6,,,,,,,,,,,,,,,,4,3,4,150000
80,1003105,1,3,110668,2,3,1,3,1,,,,,,4,9,4,4,4,4,4,4,4,9,4,4,5685.226189,923,10,3,1,2,,,,6,,,,,,,,,,,,,,,,5,5,5,100000
81,1003105,1,5,110663,2,5,1,8,,,,,,,5,9,4,4,4,9,4,4,4,9,4,4,5685.226189,931,270,2,1,,,,,6,,,,,,,,,,,,,,,,5,5,5,144000
82,1003105,2,10,123234,2,10,1,2,1,,,,,,5,9,5,4,4,9,5,5,5,3,4,4,5685.226189,921,90,2,1,2,,,,6,,,,,,,,,,,,,,,,5,4,5,100000
83,1003105,2,10,123235,2,10,1,2,1,,,,,,4,9,5,9,4,9,5,5,5,9,3,3,5685.226189,921,90,2,1,2,,,,,,,,,,,,,,,,,,,,4,4,4,100000
84,1003106,1,5,110663,2,5,1,8,,,,,,,5,9,4,4,4,9,4,4,4,9,4,4,5387.613811,931,270,2,1,,,,,6,,,,,,,,,,,,,,,,5,5,5,144000
85,1003106,2,10,123219,2,10,1,5,1,,,,,,4,9,5,4,4,9,4,4,4,9,3,4,5387.613811,931,370,2,1,2,,,,6,,,,,,,,,,,,,,,,5,4,5,150000
86,1003106,2,11,123221,2,11,1,24,1,,,,,,5,9,4,4,4,9,4,4,4,9,3,3,5387.613811,932,60,2,1,2,,,,6,,,,,,,,,,,,,,,,4,3,4,150000
87,1003201,1,3,110361,1,3,1,50,,,3,,,,5,9,3,9,3,4,4,4,4,9,3,4,2108.296925,938,70,1,1,,,,,6,,,,,,,,,,,,,,,,5,5,5,50000
88,1003201,1,4,110356,2,4,1,4,,,,,,,5,9,5,5,4,9,4,4,4,9,3,4,2108.296925,931,190,3,1,2,,,,6,,,,,,,,,,,,,,,,5,5,5,50000
89,1003201,1,5,110358,2,5,1,4,,,,,,,5,9,4,4,4,4,4,4,4,4,3,4,2108.296925,931,270,3,1,2,,,,6,,,,,,,,,,,,,,,,5,5,5,25000
90,1003201,2,7,123244,1,7,1,6,,,,,,,4,9,5,9,5,9,4,4,4,9,4,4,2108.296925,931,40,1,1,2,,,,,,,,,,,,,,,,,,,,4,4,4,25000
91,1003201,2,7,123250,1,7,1,3,,2,,,,,5,9,4,9,4,9,4,4,4,4,4,4,2108.296925,932,310,1,1,2,,,,,,,,,,,,,,,,,,,21,4,4,4,20000
92,1003201,2,8,110362,1,8,1,5,1,,,,,,4,9,3,9,3,9,4,4,4,4,3,4,2108.296925,931,80,1,1,,,,,,,,,,,,,,,,,,,,21,5,5,5,50000
93,1003201,2,8,123251,1,8,1,5,,,3,,,,5,9,4,9,4,9,4,4,4,9,4,4,2108.296925,931,380,1,1,,,,,,,,,,,,,,,,,,,,21,4,4,4,20000
94,1003201,2,9,123246,2,9,1,4,,,,,,,4,9,4,4,4,9,4,4,4,9,3,4,2108.296925,934,40,3,1,2,,,,,7,,,,,,,,,,,,,,,4,4,4,50000
95,1003201,2,9,123248,1,9,1,6,,,,,,,4,5,4,9,4,4,4,4,5,4,4,4,2108.296925,931,190,1,1,2,,,,6,,,,,,,,,,,,,,,,5,4,5,25000
96,1003201,2,10,123249,1,10,1,5,,,,,,,5,9,4,9,4,9,4,4,4,9,3,4,2108.296925,931,270,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,25000
97,1003201,2,10,123253,1,10,1,5,,,3,,,,5,9,4,9,4,9,4,4,4,4,4,4,2108.296925,932,60,1,,,,,,,,,,,,,,,,,,,,,21,4,4,4,20000
98,1003202,1,4,110356,2,4,1,4,,,,,,,5,9,5,5,4,9,4,4,4,9,3,4,2069.764572,931,190,3,1,2,,,,6,,,,,,,,,,,,,,,,5,5,5,50000
99,1003202,1,5,110358,2,5,1,4,,,,,,,5,9,4,4,4,4,4,4,4,4,3,4,2069.764572,931,270,3,1,2,,,,6,,,,,,,,,,,,,,,,5,5,5,25000
100,1003202,2,7,123244,1,7,1,6,,,,,,,4,9,5,9,5,9,4,4,4,9,4,4,2069.764572,931,40,1,1,2,,,,,,,,,,,,,,,,,,,,4,4,4,25000
101,1003202,2,9,123246,2,9,1,4,,,,,,,4,9,4,4,4,9,4,4,4,9,3,4,2069.764572,934,40,3,1,2,,,,,7,,,,,,,,,,,,,,,4,4,4,50000
102,1003202,2,9,123248,1,9,1,6,,,,,,,4,5,4,9,4,4,4,4,5,4,4,4,2069.764572,931,190,1,1,2,,,,6,,,,,,,,,,,,,,,,5,4,5,25000
103,1003202,2,10,123249,1,10,1,5,,,,,,,5,9,4,9,4,9,4,4,4,9,3,4,2069.764572,931,270,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,25000
104,1003202,2,12,123255,1,12,1,2,1,,,,,,3,3,3,9,3,3,3,3,3,3,3,3,2069.764572,911,100,1,1,,,,,,,,,,,,,,,,,,,,,4,4,4,7000
105,1003301,1,5,110262,1,5,1,13,1,,,,,,4,5,4,9,5,9,5,5,5,9,4,4,8906.754283,938,70,1,1,,,4,,,,,,,,12,,,,,,,,,,5,5,5,75000
106,1003301,2,7,122906,1,7,1,4,,,,,,,5,9,5,9,4,9,5,5,5,9,5,3,8906.754283,911,60,1,1,2,,,,,,,,,,,,,,,,,,,,3,4,3,2300
107,1003301,2,10,122911,1,10,1,4,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,8906.754283,911,10,1,1,2,,,,,,,,,,,,,,,,,,,,4,4,4,25000
108,1003301,2,10,122912,1,10,1,4,,,,,,,5,5,5,9,5,9,5,5,5,9,5,5,8906.754283,911,10,1,1,2,,,,6,,,,,,,,,,,,,,,,5,5,5,25000
109,1003301,2,11,122917,2,11,1,4,,,,,,,4,9,4,4,4,9,4,4,4,9,4,4,8906.754283,934,30,2,1,2,,,,,,,,,,,,,,,,,,20,,5,5,5,5000
110,1003302,1,5,110262,1,5,1,13,1,,,,,,4,5,4,9,5,9,5,5,5,9,4,4,8454.264027,938,70,1,1,,,4,,,,,,,,12,,,,,,,,,,5,5,5,75000
111,1003302,1,5,110264,1,5,1,6,1,,,,,,3,9,4,9,3,9,3,3,3,9,3,3,8454.264027,911,160,1,,2,,,,,,,,,,,,,,,,,,,,3,3,3,120000
112,1003302,2,7,122906,1,7,1,4,,,,,,,5,9,5,9,4,9,5,5,5,9,5,3,8454.264027,911,60,1,1,2,,,,,,,,,,,,,,,,,,,,3,4,3,2300
113,1003302,2,8,110265,1,8,1,2,1,,,,,,5,5,5,9,5,5,5,5,5,9,5,5,8454.264027,911,10,1,1,,,4,,6,,,,,,,,,,,,,,,,5,5,5,26250
114,1003302,2,10,122911,1,10,1,4,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,8454.264027,911,10,1,1,2,,,,,,,,,,,,,,,,,,,,4,4,4,25000
115,1003302,2,10,122912,1,10,1,4,,,,,,,5,5,5,9,5,9,5,5,5,9,5,5,8454.264027,911,10,1,1,2,,,,6,,,,,,,,,,,,,,,,5,5,5,25000
116,1003302,2,11,122917,2,11,1,4,,,,,,,4,9,4,4,4,9,4,4,4,9,4,4,8454.264027,934,30,2,1,2,,,,,,,,,,,,,,,,,,20,,5,5,5,5000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1003304,1,2,300694,1,2,1,6,,,,,,,5,5,5,9,4,5,5,5,5,5,5,5,4274.920362,911,10,1,,,,,,,,,,,,12,,,15,,,,,,,4,5,5,25000
120,1003304,1,2,300695,1,2,1,6,,,,,,,4,4,4,9,4,4,5,5,5,5,5,5,4274.920362,911,10,1,,,,,,,,,,,,12,,,,,,,,,,5,5,5,20000
121,1003304,1,3,300696,1,3,1,6,,,,,,,5,4,5,9,4,5,5,5,5,5,5,5,4274.920362,931,200,1,1,,,,5,,,,,,,,,,,,,,,,,5,5,5,80000
122,1003304,1,3,300697,1,3,1,6,,,,,,,5,5,4,9,4,3,5,5,5,3,5,3,4274.920362,911,140,1,,,,,,,,,,,,,13,,,,,,,,,5,5,4,26000
123,1003304,1,4,300699,1,4,1,6,,,,,,,5,5,5,9,4,5,5,5,5,2,5,5,4274.920362,911,20,1,1,,,,,,,,,,,,,,,,,,,,,5,5,5,27000
124,1003304,1,5,300868,1,5,1,6,,,,,,,3,3,5,9,5,5,4,4,4,9,4,5,4274.920362,911,130,1,,2,,,,,,,,,,,,,,,,,,,,5,5,4,44500
