PID	M_ID	nature	traffic	food	info	facility	kind	total	loc_code	money	age	age_group	money_group	label_group	a_c
1119102	116205	4	4	4	4	4	4	4	932030	125000	67	5	3	15	강원 강릉시
1121701	115005	5	4	4	4	4	4	5	932030	50834	50	4	2	11	강원 강릉시
1121702	115005	5	4	4	4	4	4	5	932030	50834	50	4	2	11	강원 강릉시
1121703	115005	5	4	4	4	4	4	5	932030	50834	20	2	2	5	강원 강릉시
1122401	119277	5	4	4	5	4	4	4	932030	50000	60	5	2	14	강원 강릉시
1122402	119277	5	4	4	5	4	4	4	932030	50000	61	5	2	14	강원 강릉시
1127301	105019	4	2	4	3	4	4	4	932030	45000	51	4	1	10	강원 강릉시
1127302	105019	4	2	4	3	4	4	4	932030	45000	50	4	1	10	강원 강릉시
1127303	105019	4	2	4	3	4	4	4	932030	45000	22	2	1	4	강원 강릉시
1127304	105019	4	2	4	3	4	4	4	932030	45000	21	2	1	4	강원 강릉시
1127305	105019	4	2	4	3	4	4	4	932030	45000	18	1	1	1	강원 강릉시
1131402	107166	5	5	4	4	4	3	5	932030	16667	48	4	1	10	강원 강릉시
1132001	116025	4	4	4	4	4	4	4	932030	40000	80	6	1	16	강원 강릉시
1132801	109624	4	4	3	4	3	3	4	932030	40000	68	5	1	13	강원 강릉시
1132802	109624	4	4	3	4	3	3	4	932030	40000	66	5	1	13	강원 강릉시
1133103	110289	4	4	4	4	3	3	4	932030	75000	25	2	2	5	강원 강릉시
1133502	107268	4	4	3	4	3	4	4	932030	50000	50	4	2	11	강원 강릉시
1134501	119209	4	4	3	4	4	4	4	932030	75000	62	5	2	14	강원 강릉시
1134503	119210	4	3	4	4	4	4	4	932030	200000	32	3	3	9	강원 강릉시
1135004	123354	5	5	4	4	4	4	4	932030	50000	25	2	2	5	강원 강릉시
1136101	116019	5	3	4	4	4	4	4	932030	66667	78	5	2	14	강원 강릉시
1137101	115993	4	4	4	3	4	4	3	932030	200000	69	5	3	15	강원 강릉시
1138401	114301	5	3	4	3	3	3	4	932030	62500	79	5	2	14	강원 강릉시
1138401	114306	4	3	4	4	4	4	4	932030	25000	79	5	1	13	강원 강릉시
1138402	114301	5	3	4	3	3	3	4	932030	62500	77	5	2	14	강원 강릉시
1138402	114306	4	3	4	4	4	4	4	932030	25000	77	5	1	13	강원 강릉시
1140501	114069	5	5	4	5	4	4	4	932030	200000	39	3	3	9	강원 강릉시
1140502	114069	5	5	4	5	4	4	4	932030	200000	39	3	3	9	강원 강릉시
1143901	116106	5	4	4	4	4	4	4	932030	325000	69	5	3	15	강원 강릉시
1143902	116106	5	4	4	4	4	4	4	932030	325000	66	5	3	15	강원 강릉시
1145202	101624	4	3	4	3	3	3	4	932030	75000	57	4	2	11	강원 강릉시
1146001	121316	4	4	4	4	4	4	5	932030	75000	66	5	2	14	강원 강릉시
1146002	121316	4	4	4	4	4	4	5	932030	75000	66	5	2	14	강원 강릉시
1146203	302368	4	4	4	4	4	4	4	932030	25000	27	2	1	4	강원 강릉시
1147401	117065	4	4	5	3	3	4	4	932030	66667	56	4	2	11	강원 강릉시
1147402	117065	4	4	5	3	3	4	4	932030	66667	55	4	2	11	강원 강릉시
1147403	117065	4	4	5	3	3	4	4	932030	66667	27	2	2	5	강원 강릉시
1147904	108117	4	4	4	4	4	4	5	932030	100000	31	3	3	9	강원 강릉시
1148202	118587	4	3	4	3	3	4	4	932030	12500	70	5	1	13	강원 강릉시
1149702	122288	4	4	5	4	3	3	4	932030	100000	47	4	3	12	강원 강릉시
1152301	101971	4	2	2	3	2	2	3	932030	215595	53	4	3	12	강원 강릉시
1152302	101971	4	2	2	3	2	2	3	932030	215595	52	4	3	12	강원 강릉시
1160101	121123	4	3	4	4	3	4	4	932030	8333	84	6	1	16	강원 강릉시
