,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
8599,1227601,105009,4,4,4,4,4,4,4,936380,125000,70,5,3,15,전남 장흥군,9
8600,1227601,900215,4,4,4,4,4,4,4,936380,125000,70,5,3,15,전남 장흥군,9
8601,1234202,104854,4,5,5,4,4,4,5,936380,170000,66,5,3,15,전남 장흥군,9
8602,1241201,110975,4,4,4,4,4,4,4,936380,100000,67,5,3,15,전남 장흥군,9
8603,1241201,110986,3,4,4,4,4,4,3,936380,150000,67,5,3,15,전남 장흥군,9
8604,1241202,110975,4,4,4,4,4,4,4,936380,100000,62,5,3,15,전남 장흥군,9
8605,1522402,101360,3,4,4,3,4,3,4,936380,150000,68,5,3,15,전남 장흥군,9
8606,1239801,115392,4,5,5,4,4,5,5,936380,50000,77,5,2,14,전남 장흥군,9
8607,1521304,115489,4,5,5,4,4,4,5,936380,82000,28,2,2,5,전남 장흥군,9
9621,1006801,123577,3,3,3,3,3,3,4,931250,0,58,4,1,10,경기 광주시,9
9622,1133502,117890,4,4,3,4,4,3,4,931250,30000,50,4,1,10,경기 광주시,9
9623,1151902,122690,5,3,2,3,4,4,4,931250,40000,47,4,1,10,경기 광주시,9
9624,1183802,303319,4,4,4,4,4,3,4,931250,0,59,4,1,10,경기 광주시,9
9625,1221701,108712,5,5,4,4,4,4,4,931250,15000,56,4,1,10,경기 광주시,9
9626,1523502,303715,5,5,4,5,5,5,5,931250,18667,58,4,1,10,경기 광주시,9
9627,1524302,302986,5,4,4,4,4,4,4,931250,35000,48,4,1,10,경기 광주시,9
9628,1011302,120366,3,3,3,3,3,3,3,931250,60000,49,4,2,11,경기 광주시,9
9629,1027901,101465,4,4,3,3,4,4,4,931250,50000,33,3,2,8,경기 광주시,9
9630,1027902,101465,4,4,3,3,4,4,4,931250,50000,35,3,2,8,경기 광주시,9
9631,1039301,104267,4,4,3,4,3,4,3,931250,15000,87,6,1,16,경기 광주시,9
9632,1134401,114560,4,3,4,3,3,4,4,931250,20000,81,6,1,16,경기 광주시,9
9633,1051103,102129,4,4,5,4,4,3,5,931250,100000,37,3,3,9,경기 광주시,9
9634,1141103,114087,4,3,4,4,4,4,4,931250,150000,32,3,3,9,경기 광주시,9
9635,1508902,301157,4,3,3,4,4,4,4,931250,100000,37,3,3,9,경기 광주시,9
9636,1052401,104062,4,4,4,4,4,4,4,931250,40000,70,5,1,13,경기 광주시,9
9637,1057802,122354,5,4,4,4,4,4,4,931250,10000,62,5,1,13,경기 광주시,9
9638,1172701,121373,4,4,4,4,4,4,3,931250,10000,78,5,1,13,경기 광주시,9
9639,1172702,121373,4,4,4,4,4,4,3,931250,10000,72,5,1,13,경기 광주시,9
9640,1182801,106195,4,4,4,4,3,3,4,931250,30000,74,5,1,13,경기 광주시,9
9641,1186202,107140,4,4,4,4,4,4,4,931250,30000,68,5,1,13,경기 광주시,9
9642,1527401,108135,4,4,4,4,4,4,5,931250,25000,73,5,1,13,경기 광주시,9
9643,1527402,108135,4,4,4,4,4,4,5,931250,25000,67,5,1,13,경기 광주시,9
9644,1527402,108163,4,4,4,4,4,4,4,931250,30000,67,5,1,13,경기 광주시,9
9645,1527402,108160,5,4,4,4,4,4,4,931250,30000,67,5,1,13,경기 광주시,9
9646,1093401,108998,4,4,4,3,4,4,4,931250,50000,62,5,2,14,경기 광주시,9
9647,1093401,120970,4,4,4,4,4,4,4,931250,50000,62,5,2,14,경기 광주시,9
9648,1146203,300405,4,4,4,4,4,4,5,931250,30000,27,2,1,4,경기 광주시,9
9649,1523504,303715,5,5,4,5,5,5,5,931250,18667,28,2,1,4,경기 광주시,9
9650,1149601,122347,5,5,4,5,5,5,5,931250,10000,42,3,1,7,경기 광주시,9
9651,1149602,122347,5,5,4,5,5,5,5,931250,10000,38,3,1,7,경기 광주시,9
9652,1199301,303540,5,4,3,3,4,4,5,931250,47000,41,3,1,7,경기 광주시,9
9653,1199302,303540,5,4,3,3,4,4,5,931250,47000,41,3,1,7,경기 광주시,9
9654,1208401,300824,5,4,4,4,4,4,4,931250,33333,39,3,1,7,경기 광주시,9
9655,1208402,300824,5,4,4,4,4,4,4,931250,33333,38,3,1,7,경기 광주시,9
9656,1523503,303715,5,5,4,5,5,5,5,931250,18667,34,3,1,7,경기 광주시,9
9657,1153703,115871,5,4,4,4,4,4,5,931250,100000,29,2,3,6,경기 광주시,9
9658,1208403,300824,5,4,4,4,4,4,4,931250,33333,15,1,1,1,경기 광주시,9
9659,1533102,105622,4,4,5,4,4,4,4,931250,100000,49,4,3,12,경기 광주시,9
9660,1006801,123579,5,5,4,3,3,3,5,932050,70000,58,4,2,11,강원 태백시,9
9661,1188201,110213,5,4,4,3,4,3,4,932050,87500,49,4,2,11,강원 태백시,9
9662,1243601,114421,4,4,4,4,5,3,5,932050,60000,47,4,2,11,강원 태백시,9
9663,1035801,110770,4,4,4,4,4,4,4,932050,50000,41,3,2,8,강원 태백시,9
9664,1035801,122774,4,4,4,4,4,4,4,932050,62500,41,3,2,8,강원 태백시,9
9665,1035802,110770,4,4,4,4,4,4,4,932050,50000,39,3,2,8,강원 태백시,9
9666,1035802,122774,4,4,4,4,4,4,4,932050,62500,39,3,2,8,강원 태백시,9
9667,1051005,103980,4,4,4,4,4,4,3,932050,70000,40,3,2,8,강원 태백시,9
9668,1188202,110213,5,4,4,3,4,3,4,932050,87500,45,3,2,8,강원 태백시,9
9669,1243602,114421,4,4,4,4,5,3,5,932050,60000,43,3,2,8,강원 태백시,9
9670,1040102,102463,4,5,4,4,3,4,4,932050,2000,71,5,1,13,강원 태백시,9
9671,1050901,118516,5,5,5,4,4,4,5,932050,22500,65,5,1,13,강원 태백시,9
9672,1159901,122719,4,3,4,4,4,4,4,932050,35000,78,5,1,13,강원 태백시,9
9673,1244302,100825,4,4,4,4,4,4,5,932050,40000,67,5,1,13,강원 태백시,9
9674,1253701,108182,4,4,3,4,4,4,4,932050,33333,69,5,1,13,강원 태백시,9
9675,1253702,108182,4,4,3,4,4,4,4,932050,33333,67,5,1,13,강원 태백시,9
9676,1523501,300719,5,5,5,4,5,5,4,932050,30000,61,5,1,13,강원 태백시,9
9677,1050903,118516,5,5,5,4,4,4,5,932050,22500,41,3,1,7,강원 태백시,9
