PID,M_ID,nature,culture,traffic,accom,food,shopping,info,facility,kind,program,price,cong,total
1007802,123699,4,4,4,4,4,4,4,4,4,3,4,4,4
1007803,114949,4,4,5,5,4,4,4,4,4,4,4,4,4
1007803,114950,5,5,4,4,5,4,5,4,4,4,4,4,4
1007804,114949,4,4,5,5,4,4,4,4,4,4,4,4,4
1007804,114950,5,5,4,4,5,4,5,4,4,4,4,4,4
1007902,110952,4,4,4,4,4,4,4,4,4,4,4,4,4
1007902,110953,4,4,4,4,4,4,4,4,4,4,4,4,4
1007902,123567,4,4,4,4,4,4,4,4,4,4,4,4,4
1007902,123570,3,3,5,3,4,3,3,3,3,3,2,3,3
1007902,123570,3,3,5,3,4,3,3,3,3,3,2,3,3
1007902,123572,3,3,3,3,3,3,3,3,3,3,3,5,3
1007902,123574,4,4,4,4,4,4,4,4,4,4,4,4,4
1008001,123656,3,3,3,3,3,3,3,3,3,3,3,3,3
1008001,123657,3,3,3,3,3,3,3,3,3,3,3,3,3
1008002,123668,3,3,3,3,3,3,3,3,3,3,3,3,3
1008002,123669,4,4,4,4,4,4,4,4,4,4,4,4,4
1008002,123670,2,3,3,3,3,3,3,3,3,3,3,3,3
1008002,123672,3,4,3,3,3,3,3,3,3,3,3,3,3
1008002,123673,3,3,3,3,5,3,3,3,3,3,3,3,3
1008002,123674,3,3,3,4,3,3,3,3,3,4,3,3,4
1008002,123675,4,4,4,4,4,4,4,4,4,4,4,3,4
1008002,123676,4,3,3,3,4,3,3,3,3,3,3,4,3
1008002,123678,3,3,3,3,3,3,3,3,3,3,3,3,3
1008002,123679,4,3,3,3,4,3,3,4,3,3,3,3,3
1008002,123680,4,4,4,3,4,3,4,3,3,3,3,2,3
1008101,123640,3,3,3,3,3,3,3,3,3,3,3,3,3
1008101,123641,3,3,4,3,3,3,3,3,3,3,3,3,3
1008101,123637,4,4,3,3,4,3,4,3,4,3,4,4,3
1008101,123639,4,4,4,3,4,4,4,4,4,3,4,4,3
1008102,123637,4,4,3,3,4,3,4,3,4,3,4,4,3
1008102,123639,4,4,4,3,4,4,4,4,4,3,4,4,3
1008201,123332,4,4,4,4,4,4,4,4,4,4,3,4,4
1008201,123332,4,4,4,4,4,4,4,4,4,4,3,4,4
1008202,123332,4,4,4,4,4,4,4,4,4,4,3,4,4
1008202,123332,4,4,4,4,4,4,4,4,4,4,3,4,4
1008301,110967,3,3,3,3,3,3,3,3,3,3,3,3,3
1008301,110964,5,4,4,4,3,3,3,4,3,4,3,2,4
1008301,123631,3,3,3,3,3,3,3,3,3,3,3,3,3
1008301,123632,3,3,4,3,3,3,3,3,3,3,3,3,3
1008301,123634,3,3,3,3,3,3,3,3,3,3,3,3,3
1008302,110964,5,4,4,4,3,3,3,4,3,4,3,2,4
1008302,123635,4,4,4,4,4,4,4,4,4,4,4,4,4
1008401,110911,3,3,3,3,3,3,3,3,3,3,3,3,3
1008401,110923,4,3,4,3,3,3,2,3,2,3,2,3,3
1008401,110925,4,2,4,4,4,2,4,3,4,4,4,4,4
1008401,110927,3,3,3,3,3,3,3,3,3,3,3,3,3
1008401,123620,4,3,3,3,3,3,3,3,3,3,3,3,3
1008401,123621,4,4,4,4,4,4,4,4,4,4,4,4,4
1008401,123623,3,3,3,3,3,3,3,3,3,3,3,3,3
1008401,123625,3,3,3,3,3,3,3,3,3,3,3,3,3
1008402,110911,3,3,3,3,3,3,3,3,3,3,3,3,3
1008402,110915,4,4,4,4,4,4,4,4,4,4,4,4,4
1008402,110923,4,3,4,3,3,3,2,3,2,3,2,3,3
1008402,110925,4,2,4,4,4,2,4,3,4,4,4,4,4
1008402,110927,3,3,3,3,3,3,3,3,3,3,3,3,3
1008402,123620,4,3,3,3,3,3,3,3,3,3,3,3,3
1008402,123621,4,4,4,4,4,4,4,4,4,4,4,4,4
