PID,M_ID,q6_1,q6_1_1
1025902,104635,932,350
1025902,900188,932,350
1025904,104645,921,90
1025904,900190,921,90
1026001,104262,934,350
1026001,104264,939,20
1026002,104262,934,350
1026002,104264,939,20
1026203,104247,921,90
1026203,900173,921,90
1026401,103912,931,370
1026401,118750,932,30
1026401,118751,932,340
1026402,103912,931,370
1026402,118750,932,30
1026402,118751,932,340
1026501,115425,931,200
1026502,115425,931,200
1026503,115428,921,90
1026503,115425,931,200
1026504,115425,931,200
1026601,109189,931,370
1026601,109191,911,20
1026601,119515,931,200
1026601,119521,911,20
1026602,109189,931,370
1026602,119515,931,200
1026602,119517,923,10
1026603,109191,911,20
1026603,119515,931,200
1026604,109189,931,370
1026604,109191,911,20
1026604,119515,931,200
1026604,119517,923,10
1026701,106036,932,350
1026702,106036,932,350
1027001,103931,933,30
1027001,121034,923,310
1027002,103931,933,30
1027002,121034,923,310
1027003,103931,933,30
1027003,103932,911,10
1027003,121034,923,310
1027004,103931,933,30
1027004,121041,931,370
1027101,106476,934,80
1027102,106479,931,370
1027102,106476,934,80
1027102,120432,911,50
1027102,120433,931,100
1027102,120436,931,380
1027103,106476,934,80
1027103,120432,911,50
1027103,120433,931,100
1027303,122090,938,50
1027402,104235,931,10
1027402,900172,931,10
1027501,122684,939,20
1027502,122684,939,20
1027901,101462,921,20
1027901,101462,938,70
1027901,101465,931,250
1027901,101460,938,70
1027901,101460,921,90
1027901,122580,931,370
1027901,122581,938,90
1027902,101462,921,20
1027902,101462,938,70
1027902,101465,931,250
1027902,101460,938,70
1027902,101460,921,90
1027902,122580,931,370
1027902,122581,938,90
1028101,300498,931,90
1028101,302837,932,320
1028102,300498,931,90
1028102,300499,934,40
1028102,302837,932,320
1028102,302842,931,260
1028104,301466,935,20
1028104,301466,932,30
1028104,301466,934,30
1028104,121401,938,370
1028104,302898,934,30
1028104,302898,935,50
1028104,302898,937,400
1028104,302899,931,60
1028104,121406,937,400
1028104,121418,931,60
1028104,121426,923,40
1028301,104849,931,200
1028301,104855,931,100
